Month,Sales
01/2017,266
02/2017,145.9
03/2017,183.1
04/2017,119.3
05/2017,180.3
06/2017,168.5
07/2017,231.8
08/2017,224.5
09/2017,192.8
10/2017,122.9
11/2017,336.5
12/2017,185.9
01/2018,194.3
02/2018,149.5
03/2018,210.1
04/2018,273.3
05/2018,191.4
06/2018,287
07/2018,226
08/2018,303.6
09/2018,289.9
10/2018,421.6
11/2018,264.5
12/2018,342.3
01/2019,339.7
02/2019,440.4
03/2019,315.9
04/2019,439.3
05/2019,401.3
06/2019,437.4
07/2019,575.5
08/2019,407.6
09/2019,682
10/2019,475.3
11/2019,581.3
12/2019,646.9
